division,line,station_name,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry
IND,6 Avenue,34th St,Elevator,YES,FULL,TRUE,TRUE,"(40.749719, -73.987823)","c(-73.987823, 40.749719)"
IND,6 Avenue,42nd St,Easement,YES,FULL,FALSE,TRUE,"(40.754222, -73.984569)","c(-73.984569, 40.754222)"
IND,6 Avenue,47-50th Sts Rockefeller Center,Easement,YES,FULL,TRUE,TRUE,"(40.758663, -73.981329)","c(-73.981329, 40.758663)"
IND,6 Avenue,4th Av,Door,YES,FULL,FALSE,TRUE,"(40.670272, -73.989779)","c(-73.989779, 40.670272)"
IND,6 Avenue,57th St,Stair,YES,FULL,FALSE,TRUE,"(40.763972, -73.97745)","c(-73.97745, 40.763972)"
IND,6 Avenue,7th Av,Stair,NO,FULL,FALSE,TRUE,"(40.666271, -73.980305)","c(-73.980305, 40.666271)"
IND,6 Avenue,Bergen St,Stair,YES,FULL,FALSE,FALSE,"(40.686145, -73.990862)","c(-73.990862, 40.686145)"
IND,6 Avenue,Broadway-Lafayette St,Stair,YES,FULL,FALSE,TRUE,"(40.725297, -73.996204)","c(-73.996204, 40.725297)"
IND,6 Avenue,Carroll St,Stair,YES,FULL,FALSE,TRUE,"(40.680303, -73.995048)","c(-73.995048, 40.680303)"
IND,6 Avenue,Church Av,Stair,YES,FULL,TRUE,TRUE,"(40.644041, -73.979678)","c(-73.979678, 40.644041)"
IND,6 Avenue,Delancey St,Stair,YES,FULL,FALSE,TRUE,"(40.718611, -73.988114)","c(-73.988114, 40.718611)"
IND,6 Avenue,East Broadway,Stair,YES,FULL,FALSE,TRUE,"(40.713715, -73.990173)","c(-73.990173, 40.713715)"
IND,6 Avenue,Fort Hamilton Parkway,Stair,YES,FULL,FALSE,TRUE,"(40.650782, -73.975776)","c(-73.975776, 40.650782)"
IND,6 Avenue,Grand St,Stair,YES,FULL,FALSE,TRUE,"(40.718267, -73.993753)","c(-73.993753, 40.718267)"
IND,6 Avenue,Prospect Park-15 St,Stair,YES,FULL,FALSE,TRUE,"(40.660365, -73.979493)","c(-73.979493, 40.660365)"
IND,6 Avenue,Smith-9th St,Door,YES,FULL,FALSE,TRUE,"(40.67358, -73.995959)","c(-73.995959, 40.67358)"
